Authors,Titles,Profiles,Publications,Year of Publication
,"Global, regional, and national mortality among young people aged 10–24 years, 1950–2019: a systematic analysis for the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/global-regional-and-national-mortality-among-young-people-aged-10,30 Oct 2021
,"Global, regional, and national progress towards Sustainable Development Goal 3.2 for neonatal and child health: all-cause and cause-specific mortality findings from the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/global-regional-and-national-progress-towards-sustainable-develop,4 Sep 2021
,"GRANADA consensus on analytical approaches to assess associations with accelerometer-determined physical behaviours (physical activity, sedentary behaviour and sleep) in epidemiological studies",,https://pureportal.coventry.ac.uk/en/publications/granada-consensus-on-analytical-approaches-to-assess-associations,12 Apr 2021
"Shah, S. A.",Granular Data Access Control with a Patient-Centric Policy Update for Healthcare,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/granular-data-access-control-with-a-patient-centric-policy-update,20 May 2021
"Abbott, S.,Lycett, D.",Group versus one-to-one multi-component lifestyle interventions for weight management: a systematic review and meta-analysis of randomised controlled trials,"https://pureportal.coventry.ac.uk/en/persons/sally-abbott,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett",https://pureportal.coventry.ac.uk/en/publications/group-versus-one-to-one-multi-component-lifestyle-interventions-f,Jun 2021
"Kyrou, I.,Clark, C.",Healthcare staff perceptions following inoculation with the BNT162b2 mRNA COVID-19 vaccine at University Hospitals Coventry & Warwickshire NHS trust,"https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou,https://pureportal.coventry.ac.uk/en/persons/cain-clark",https://pureportal.coventry.ac.uk/en/publications/healthcare-staff-perceptions-following-inoculation-with-the-bnt16,6 Sep 2021
"Clark, C.",Health Effect of Bariatric Surgery on Patients with Asthma: A Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/health-effect-of-bariatric-surgery-on-patients-with-asthma-a-syst,15 Mar 2021
"Shah, S. A.",High Efficiency High Gain DC-DC Boost Converter Using PID Controller for Photovoltaic Applications,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/high-efficiency-high-gain-dc-dc-boost-converter-using-pid-control,27 Jul 2021
"Clark, C. C. T.",Higher Dietary Acid Load Is Associated With an Increased Risk of Calcium Oxalate Kidney Stones,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/higher-dietary-acid-load-is-associated-with-an-increased-risk-of-,1 Sep 2021
"Clark, C. C. T.",How Does Fat Mass Change in the First Year After Bariatric Surgery? A Systemic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/how-does-fat-mass-change-in-the-first-year-after-bariatric-surger,Aug 2021
,"How Does the Understanding, Experience, and Enactment of Self-Regulation Behaviour Change Techniques Vary with Age? A Thematic Analysis",,https://pureportal.coventry.ac.uk/en/publications/how-does-the-understanding-experience-and-enactment-of-self-regul,Feb 2021
"Kneafsey, R.,Szczepura, A.",How upskilling nurses can solve the care home crisis. Call for specialist gerontological training and new online learning networks.,"https://pureportal.coventry.ac.uk/en/persons/rosie-kneafsey,https://pureportal.coventry.ac.uk/en/persons/ala-szczepura",https://pureportal.coventry.ac.uk/en/publications/how-upskilling-nurses-can-solve-the-care-home-crisis-call-for-spe,25 Aug 2021
"Shah, S. A.",Hybrid Workload Enabled and Secure Healthcare Monitoring Sensing Framework in Distributed Fog-Cloud Network,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/hybrid-workload-enabled-and-secure-healthcare-monitoring-sensing-,17 Aug 2021
"Clark, C.,Kyrou, I.",Hyperbaric oxygen therapy for the treatment of long COVID: early evaluation of a highly promising intervention,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou",https://pureportal.coventry.ac.uk/en/publications/hyperbaric-oxygen-therapy-for-the-treatment-of-long-covid-early-e,3 Dec 2021
"Percy, C.,Turner, A.,Clark, C.",iHOPE for PCOS: Quantitative evaluation of a pilot online peer support intervention for polycystic ovary syndrome,"https://pureportal.coventry.ac.uk/en/persons/carol-percy,https://pureportal.coventry.ac.uk/en/persons/andy-turner,https://pureportal.coventry.ac.uk/en/persons/cain-clark",https://pureportal.coventry.ac.uk/en/publications/ihope-for-pcos-quantitative-evaluation-of-a-pilot-online-peer-sup,29 Jun 2021
"Whelan, M.",Impact of a National Peer-Led Training Program to Increase Brief Physical Activity Advice Given to Patients by Health Care Professionals,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/impact-of-a-national-peer-led-training-programme-to-increase-brie,Nov 2021
"Clark, C. C. T.",Impact of Body Mass Index on the Development of Inflammatory Bowel Disease: A Systematic Review and Dose-Response Analysis of 15.6 Million Participants,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/impact-of-body-mass-index-on-the-development-of-inflammatory-bowe,3 Jan 2021
"Kurmi, O. P.","Impact of deprivation, dementia prevalence and regional demography on prescribing of antidementia drugs in England: A time trend analysis",https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/impact-of-deprivation-dementia-prevalence-and-regional-demography,Oct 2021
"Wilde, L.",Implementing a digital intervention for managing uncontrolled hypertension in Primary Care: a mixed methods process evaluation,https://pureportal.coventry.ac.uk/en/persons/laura-joanne-wilde,https://pureportal.coventry.ac.uk/en/publications/implementing-a-digital-intervention-for-managing-uncontrolled-hyp,26 May 2021
"Clark, C. C. T.",Improvement of Physical Performance Following a 6 Week Change-of-Direction Training Program in Elite Youth Soccer Players of Different Maturity Levels,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/improvement-of-physical-performance-following-a-6-week-change-of-,24 May 2021
"Shah, S. A.",Improving Machine Learning Classification Accuracy for Breathing Abnormalities by Enhancing Dataset,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/improving-machine-learning-classification-accuracy-for-breathing-,12 Oct 2021
"Zheng, D.",Influence of aging and increased blood pressure on oscillometric cuff pressure waveform characteristics,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/influence-of-aging-and-increased-blood-pressure-on-oscillometric-,1 Nov 2021
"Wark, P. A.",Information Quality Frameworks for Digital Health Technologies: Systematic Review,https://pureportal.coventry.ac.uk/en/persons/petra-wark,https://pureportal.coventry.ac.uk/en/publications/information-quality-frameworks-for-digital-health-technologies-sy,17 May 2021
"Magee, P.,Woodcock, A.",In pursuit of meaningful insight: Post-covid remote collaboration methodology and design as a provocation,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/andree-woodcock",https://pureportal.coventry.ac.uk/en/publications/in-pursuit-of-meaningful-insight-post-covid-remote-collaboration-,2021
"Magee, P.,Woodcock, A.",In Pursuit Of Meaningful Insight; Covid Remote Collaboration And Design As Provocation,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/andree-woodcock",https://pureportal.coventry.ac.uk/en/publications/in-pursuit-of-meaningful-insight-covid-remote-collaboration-and-d,2021
"Clark, C. C. T.",Intake of Various Food Groups and Risk of Breast Cancer: A Systematic Review and Dose-Response Meta-Analysis of Prospective Studies,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/intake-of-various-food-groups-and-risk-of-breast-cancer-a-systema,1 May 2021
"Clark, C.",Interaction between major dietary patterns and cardiorespiratory fitness on metabolic syndrome in Iranian adults: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/interaction-between-major-dietary-patterns-and-cardiorespiratory-,Dec 2021
"Wang, J.,Zheng, D.",Interpretable Machine Learning for COVID-19: An Empirical Study on Severity Prediction Task,"https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/interpretable-machine-learning-for-covid-19-an-empirical-study-on,25 Jun 2021
"Lycett, D.",Interventions for preventing weight gain after smoking cessation,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,https://pureportal.coventry.ac.uk/en/publications/interventions-for-preventing-weight-gain-after-smoking-cessation-3,6 Oct 2021
"Clark, C. C. T.",Introducing an activity-based balance index for soccer players: A validity and reliability study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/introducing-an-activity-based-balance-index-for-soccer-players-a-,Jun 2021
"Wright, H.",Introducing the tablet-based Oxford Cognitive Screen-Plus (OCS-Plus) as an assessment tool for subtle cognitive impairments,https://pureportal.coventry.ac.uk/en/persons/hayley-wright,https://pureportal.coventry.ac.uk/en/publications/introducing-the-tablet-based-oxford-cognitive-screen-plus-ocs-plu,Dec 2021
"Tapp, R.",Investigation of associations between retinal microvascular parameters and albuminuria in UK Biobank: a cross-sectional case-control study,https://pureportal.coventry.ac.uk/en/persons/robyn-tapp,https://pureportal.coventry.ac.uk/en/publications/investigation-of-associations-between-retinal-microvascular-param,25 Feb 2021
"Shah, S. A.",JPEG Image Compression Using Multiple Core Strategy in FPGA achieving High Peak Signal to Noise Ratios,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/jpeg-image-compression-using-multiple-core-strategy-in-fpga-achie,27 Jul 2021
"Clark, C.",Knowledge and attitude towards HIV/AIDS in India: A systematic review and meta-analysis of 47 studies from 2010-2020,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/knowledge-and-attitude-towards-hivaids-in-india-a-systematic-revi,2021
"Holliday, N.,Coad, J.","Lean in, don’t step back: The views and experiences of patients and carers with severe mental illness and incurable physical conditions on palliative and end of life care","https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/jane-coad",https://pureportal.coventry.ac.uk/en/publications/lean-in-dont-step-back-the-views-and-experiences-of-patients-and-,2021
"Allen, J.",Low frequency variability in photoplethysmography and autonomic function assessment,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/low-frequency-variability-in-photoplethysmography-and-autonomic-f,1 Nov 2021
,"Mapping inequalities in exclusive breastfeeding in low- and middle-income countries, 2000–2018",,https://pureportal.coventry.ac.uk/en/publications/mapping-inequalities-in-exclusive-breastfeeding-in-low-and-middle,Aug 2021
"Wang, J.",Memory Augmented Hierarchical Attention Network for Next Point-of-Interest Recommendation,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/memory-augmented-hierarchical-attention-network-for-next-point-of,Apr 2021
"Shah, S. A.",Microwave and Terahertz Sensing for Well Being,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/microwave-and-terahertz-sensing-for-well-being,30 Mar 2021
"Whelan, M.",Mixed Methods Process Evaluation of a National Peer-Led Training Program to Increase Brief Advice on Physical Activity Given By Health Care Professionals,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/mixed-methods-process-evaluation-of-a-national-peer-led-training-,Nov 2021
"Wilde, L. J.",Mobile health apps: An exploration of user-generated reviews in Google Play store on a physical activity application,https://pureportal.coventry.ac.uk/en/persons/laura-joanne-wilde,https://pureportal.coventry.ac.uk/en/publications/mobile-health-apps-an-exploration-of-user-generated-reviews-in-go,2021
,Modification effect of ideal cardiovascular health metrics on genetic association with incident heart failure in the China Kadoorie Biobank and the UK Biobank,,https://pureportal.coventry.ac.uk/en/publications/modification-effect-of-ideal-cardiovascular-health-metrics-on-gen,22 Oct 2021
"Bul, K.",Naar de middelbare school als je ASS hebt,https://pureportal.coventry.ac.uk/en/persons/kim-bul,https://pureportal.coventry.ac.uk/en/publications/transitioning-to-secondary-school-with-asd,10 Sep 2021
,Newborn Screening for Long-Chain 3-Hydroxyacyl-CoA Dehydrogenase and Mitochondrial Trifunctional Protein Deficiencies Using Acylcarnitines Measurement in Dried Blood Spots—A Systematic Review of Test Accuracy,,https://pureportal.coventry.ac.uk/en/publications/newborn-screening-for-long-chain-3-hydroxyacyl-coa-dehydrogenase-,19 Mar 2021
"Shah, S. A.",Noninvasive Detection of Respiratory Disorder Due to COVID-19 at the Early Stages in Saudi Arabia,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/noninvasive-detection-of-respiratory-disorder-due-to-covid-19-at-,5 Nov 2021
"Shah, S. A.",Novel Ensemble Algorithm for Multiple Activity Recognition in Elderly People Exploiting Ubiquitous Sensing Devices,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/novel-ensemble-algorithm-for-multiple-activity-recognition-in-eld,15 Aug 2021
"Zheng, D.",Obesity needs to be addressed to tackle the increased prevalence of diabetes in China – Temporal changes from 2003 to 2009,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/obesity-needs-to-be-addressed-to-tackle-the-increased-prevalence-,Dec 2021
"Bisal, N. L.",On the Level Mental Health Intervention - a school-based feasibility study,https://pureportal.coventry.ac.uk/en/persons/natalie-louise-bisal,https://pureportal.coventry.ac.uk/en/publications/on-the-level-mental-health-intervention-a-school-based-feasibilit,21 Sep 2021
"Clark, C. C. T.","Performance, muscle damage, and inflammatory responses to repeated high-intensity exercise following a 40-min nap",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/performance-muscle-damage-and-inflammatory-responses-to-repeated-,19 Oct 2021
"Shah, S. A.",Performance Enhancement and Size Reduction of Vivaldi Antenna Using Defected Ground Structure for Active Phased Array Radar Applications,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/performance-enhancement-and-size-reduction-of-vivaldi-antenna-usi,4 Jul 2021
"Zheng, D.",Photoplethysmographic assessment of arterial stiffness and endothelial function,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/photoplethysmographic-assessment-of-arterial-stiffness-and-endoth,12 Nov 2021
"Allen, J. (ed.)","Photoplethysmography: Technology, Signal Analysis and Applications",https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-technology-signal-analysis-and-applications,1 Nov 2021
"Allen, J.,Zheng, D.",Photoplethysmography (PPG): State-of-the-art methods and applications,"https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-ppg-state-of-the-art-methods-and-application,24 Nov 2021
"Allen, J.",Photoplethysmography for the assessment of peripheral vascular disease,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-for-the-assessment-of-peripheral-vascular-di,3 Nov 2021
"Allen, J.",Photoplethysmography signal processing and synthesis,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-signal-processing-and-synthesis,1 Nov 2021
"Clark, C.",Physical behaviors and fundamental movement skills in British and Iranian children: An isotemporal substitution analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/physical-behaviors-and-fundamental-movement-skills-in-british-and,Feb 2021
"Saeed, U.,Shah, S. A.",Portable UWB RADAR Sensing System for Transforming Subtle Chest Movement into Actionable Micro-Doppler Signatures to Extract Respiratory Rate Exploiting ResNet Algorithm,"https://pureportal.coventry.ac.uk/en/persons/umer-saeed,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah",https://pureportal.coventry.ac.uk/en/publications/portable-uwb-radar-sensing-system-for-transforming-subtle-chest-m,15 Oct 2021
"Brookes Smith, C. J.",Position Statement: To Highlight the Impact of Class in Clinical Psychology,https://pureportal.coventry.ac.uk/en/persons/celine-brookes-smith,https://pureportal.coventry.ac.uk/en/publications/position-statement-to-highlight-the-impact-of-class-in-clinical-p,23 Mar 2021
"Tapp, R.",Potential metabolic and inflammatory pathways between COVID-19 and new-onset diabetes,https://pureportal.coventry.ac.uk/en/persons/robyn-tapp,https://pureportal.coventry.ac.uk/en/publications/potential-metabolic-and-inflammatory-pathways-between-covid-19-an,Mar 2021
"Zheng, D.",Preliminary Study: Learning the Impact of Simulation Time on Reentry Location and Morphology Induced by Personalized Cardiac Modeling,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/preliminary-study-learning-the-impact-of-simulation-time-on-reent,24 Dec 2021
"Clark, C.","Pre-pregnancy body mass index in mothers, birth weight and the risk of type I diabetes in their offspring: A dose-response meta-analysis of cohort studies",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/pre-pregnancy-body-mass-index-in-mothers-birth-weight-and-the-ris,Feb 2021
"Lutman-White, E.",Presence vs. participant in interaction in child protection conferences,https://pureportal.coventry.ac.uk/en/persons/eleanor-lutman-white,https://pureportal.coventry.ac.uk/en/publications/presence-vs-participant-in-interaction-in-child-protection-confer,14 Dec 2021
"Kurmi, O. P.",Prevalence of Stroke and Stroke Risk Factors in a South-Western Community of Nepal,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/prevalence-of-stroke-and-stroke-risk-factors-in-a-south-western-c,May 2021
"Shah, S. A.",Privacy-Preserving Wandering Behaviour Sensing in Dementia Patients using Modiﬁed Logistic and Dynamic Newton Leipnik Maps,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/privacy-preserving-wandering-behaviour-sensing-in-dementia-patien,1 Feb 2021
"Wang, J.",Profile-Free and Real-Time Task Recommendation in Mobile Crowdsensing,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/profile-free-and-real-time-task-recommendation-in-mobile-crowdsen,1 Dec 2021
"Kurmi, O. P.",Prognostic factors associated with small for gestational age babies in a tertiary care hospital of Western Nepal: A cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/prognostic-factors-associated-with-small-for-gestational-age-babi,Mar 2021
"Tapp, R. J.",Proportion of newly diagnosed diabetes in COVID-19 patients: a systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/persons/robyn-tapp,https://pureportal.coventry.ac.uk/en/publications/proportion-of-newly-diagnosed-diabetes-in-covid-19-patients-a-sys,Mar 2021
"Shah, S. A.",Radar Sensing for Activity Classification in Elderly People Exploiting Micro-Doppler Signatures using Machine Learning,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/radar-sensing-for-activity-classification-in-elderly-people-explo,4 Jun 2021
"Clark, C. C. T.",Ramadan Observance Is Associated with Impaired Kung-Fu-Specific Decision-Making Skills,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/ramadan-observance-is-associated-with-impaired-kung-fu-specific-d,9 Jul 2021
"Whelan, M.",Recruiting patients to a digital self-management study whilst in hospital for a chronic obstructive pulmonary disease exacerbation: A feasibility analysis,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/recruiting-patients-to-a-digital-self-management-study-whilst-in-,10 Jun 2021
"Whelan, M.",Reducing weight and BMI following gestational diabetes:  A systematic review and meta-analysis of digital and telemedicine interventions,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/reducing-weight-and-bmi-following-gestational-diabetes-a-systemat,14 Apr 2021
"Magee, P.,Woodcock, A.",Reflective practice as an enabler of empathy in design of smart mobility products and systems: benefits derived by undergraduate students on TInnGO,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/andree-woodcock",https://pureportal.coventry.ac.uk/en/publications/reflective-practice-as-an-enabler-of-empathy-in-design-of-smart-m,14 Oct 2021
"Kurmi, O.",Regional and seasonal variations in household and personal exposures to air pollution in one urban and two rural Chinese communities: A pilot study to collect time-resolved data using static and wearable devices,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/regional-and-seasonal-variations-in-household-and-personal-exposu,Jan 2021
"Szczepura, A.",Reimagining care homes: can the COVID-19 pandemic act as a catalyst for enhancing staff status and education?,https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,https://pureportal.coventry.ac.uk/en/publications/reimagining-care-homes-can-the-covid-19-pandemic-act-as-a-catalys,19 May 2021
"Clark, C. C. T.",Relationships between fitness status and match running performance in adult women soccer players: A cohort study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/relationships-between-fitness-status-and-match-running-performanc,13 Jun 2021
"Allen, J.",Reliability of the Edinburgh Claudication Questionnaire for identifying symptomatic PAD in General Practice,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/reliability-of-the-edinburgh-claudication-questionnaire-for-ident,May 2021
"Whelan, M. E.",Resistance to data loss from the Freestyle Libre: Impact on glucose variability indices and recommendations for data analysis,https://pureportal.coventry.ac.uk/en/persons/maxine-whelan,https://pureportal.coventry.ac.uk/en/publications/resistance-to-data-loss-from-the-freestyle-libre-impact-on-glucos,Feb 2021
"Liu, H.","Response by Lan et al to Letter Regarding Article, “Regional High Wall Shear Stress Associated With Stenosis Regression in Symptomatic Intracranial Atherosclerotic Disease”",https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/publications/response-by-lan-et-al-to-letter-regarding-article-regional-high-w,25 Jan 2021
"Shah, S. A.",RF Sensing Based Breathing Patterns Detection Leveraging USRP Devices,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/rf-sensing-based-breathing-patterns-detection-leveraging-usrp-dev,2 Jun 2021
"Shah, S. A.",RF sensing for healthcare applications,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/rf-sensing-for-healthcare-applications,16 Apr 2021
"Clark, C.",Risk of acute pancreatitis with methimazole use: a systematic review and meta-analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/risk-of-acute-pancreatitis-with-methimazole-use-a-systematic-revi,Oct 2021
"Wang, J.",RL-Recruiter+: Mobility-Predictability-Aware Participant Selection Learning for From-Scratch Mobile Crowdsensing,https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang,https://pureportal.coventry.ac.uk/en/publications/rl-recruiter-mobility-predictability-aware-participant-selection-,1 Dec 2022
"Clark, C. C. T.,Duncan, M. J.",School-Time Movement Behaviors and Fundamental Movement Skills in Preschoolers: An Isotemporal Reallocation Analysis,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/school-time-movement-behaviors-and-fundamental-movement-skills-in,Aug 2021
"Clark, C. C. T.",Sex-specific effects of small-sided games in basketball on psychometric and physiological markers during Ramadan intermittent fasting: a pilot study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/sex-specific-effects-of-small-sided-games-in-basketball-on-psycho,23 May 2021
"Clark, C. C. T.,Duncan, M. J.",Sleep as a Priority: 24-Hour Movement Guidelines and Mental Health of Chinese College Students during the COVID-19 Pandemic,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/sleep-as-a-priority-24-hour-movement-guidelines-and-mental-health,6 Sep 2021
"McGregor, G.,Clark, C. C. T.,Kyrou, I.","Sleep Disruption and Depression, Stress and Anxiety Levels in Women With Polycystic Ovary Syndrome (PCOS) During the Lockdown Measures for COVID-19 in the UK","https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou",https://pureportal.coventry.ac.uk/en/publications/sleep-disruption-and-depression-stress-and-anxiety-levels-in-wome,4 Jun 2021
,Sleep quality and physical activity as predictors of mental wellbeing variance in older adults during covid-19 lockdown: Eclb covid-19 international online survey,,https://pureportal.coventry.ac.uk/en/publications/sleep-quality-and-physical-activity-as-predictors-of-mental-wellb,19 Apr 2021
"Clark, C. C. T.",Soy intake is associated with lowering blood pressure in adults: A systematic review and meta-analysis of randomized double-blind placebo-controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/soy-intake-is-associated-with-lowering-blood-pressure-in-adults-a,Jun 2021
,"Spatial, temporal, and demographic patterns in prevalence of smoking tobacco use and attributable disease burden in 204 countries and territories, 1990-2019: a systematic analysis from the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/spatial-temporal-and-demographic-patterns-in-prevalence-of-smokin,19 Jun 2021
"Clark, C. C. T.",Sports medicine: Bespoke player management,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/sports-medicine-bespoke-player-management,1 Jan 2021
"Clark, C. C. T.",Standardised pomegranate peel extract lavage prevents postoperative peritoneal adhesion by regulating TGF-β and VEGF levels,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/standardised-pomegranate-peel-extract-lavage-prevents-postoperati,Jun 2021
"Clark, C.",Statin use and new-onset of inflammatory bowel disease: A systematic review and meta-analysis of over ten million participants,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/statin-use-and-new-onset-of-inflammatory-bowel-disease-a-systemat,15 Jan 2021
"Clark, C. C. T.,Duncan, M. J.",Technology-based methods for the assessment of fine and gross motor skill in children: A systematic overview of available solutions and future steps for effective in-field use,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/technology-based-methods-for-the-assessment-of-fine-and-gross-mot,3 Jun 2021
"Duncan, M.,Clark, C.","The 24-h Movement Compositions in Weekday, Weekend Day or Four-Day Periods Differentially Associate with Fundamental Movement Skills","https://pureportal.coventry.ac.uk/en/persons/michael-duncan,https://pureportal.coventry.ac.uk/en/persons/cain-clark",https://pureportal.coventry.ac.uk/en/publications/the-24-h-movement-compositions-in-weekday-weekend-day-or-four-day,Oct 2021
